egoID,roundID,NumPopularAlters,Jaccard,u,r,Q
148,r_1,a_1,0.09090909090909091,3,3.6666666666666665,7.302550520538446
149,r_1,a_2,0.2222222222222222,1,3.25,4.392059005228704
150,r_1,a_1,0.10555555555555556,2,3.6875,3.5925835443794263
151,r_1,a_1,0.09090909090909091,2,3.75,3.2795217664086147
152,r_1,a_1,0.14545454545454545,2,3.6875,6.730575688279112
153,r_1,a_1,0.1,1,3.625,6.252934663170727
119,r_2,a_1,0.0,1,3.25,6.201305289281604
102,r_2,a_1,0.045454545454545456,3,2.95,6.957707451116058
103,r_2,a_1,0.14545454545454545,3,3.1875,6.696326439917726
104,r_2,a_1,0.1,2,3.5,6.360858338661549
105,r_2,a_2,0.1,2,3.125,7.156722853649126
106,r_2,a_1,0.0,3,3.625,9.059572638849723
107,r_2,a_1,0.0,1,3.25,10.173079677514327
108,r_2,a_1,0.25,2,3.0625,3.951741538637145
109,r_2,a_1,0.1611111111111111,0,2.8125,3.815297630222585
110,r_2,a_2,0.1,2,3.7,8.694955932133947
117,r_2,a_2,0.1,1,2.8125,8.858012580494774
118,r_2,a_0,0.045454545454545456,1,2.875,6.219475730161469
113,r_2,a_2,0.0,3,2.9166666666666665,8.425425440982538
114,r_2,a_1,0.045454545454545456,4,3.0833333333333335,9.014676028412996
115,r_2,a_2,0.0,2,2.75,7.47898059172805
116,r_2,a_2,0.0,3,2.75,5.67977628251988
120,r_2,a_1,0.1,4,3.2,8.933324521643572
121,r_2,a_1,0.05,1,3.0,5.435564390679241
130,r_2,a_1,0.05,2,3.0625,6.030434783593422
132,r_2,a_2,0.0,4,3.4583333333333335,11.953265225697372
133,r_2,a_1,0.05,2,3.5,4.624835767361934
134,r_2,a_0,0.1111111111111111,0,3.1875,6.249594784477798
135,r_2,a_1,0.045454545454545456,0,3.125,5.983786230495374
137,r_2,a_1,0.14545454545454545,3,3.4,5.957853781932882
140,r_2,a_0,0.16666666666666666,0,3.375,4.67878016738663
142,r_2,a_1,0.1,5,3.1666666666666665,3.664029937154364
143,r_2,a_1,0.1111111111111111,0,3.125,4.485847513229186
144,r_2,a_2,0.1,2,2.75,7.174554790637545
146,r_2,a_0,0.05555555555555555,3,3.1875,5.662912416508863
147,r_2,a_1,0.14545454545454545,1,3.3125,10.440624419185104
148,r_2,a_1,0.1,1,3.4375,5.0854787324072035
149,r_2,a_2,0.125,2,2.9375,8.114829062152698
