name,gender,race,age,unique,shapley,cq,trial
E_378,Male,White,35-44,1,1.0,1.0,6
E_396,NonMale,NonWhite,25-34,0,1.0,1.0,6
E_392,NonMale,White,45-54,4,1.0,1.0,6
E_400,Male,White,25-34,7,1.0,1.0,6
E_382,NonMale,NonWhite,25-34,2,1.0,1.0,6
E_395,Male,White,35-44,1,1.0,1.0,6
E_397,Male,NonWhite,35-44,1,1.0,1.0,6
E_558,NonMale,White,25-34,5,1.0,1.0,6
E_398,Male,White,25-34,1,1.0,1.0,6
E_402,Male,White,35-44,1,1.0,1.0,6
E_388,Male,White,35-44,2,1.0,1.0,6
E_401,NonMale,White,45-54,3,1.0,1.0,6
E_559,NonMale,White,45-54,2,1.0,1.0,6
E_554,Male,White,18-24,2,1.0,1.0,6
E_555,Male,White,35-44,4,1.0,1.0,6
E_404,NonMale,White,25-34,0,1.0,1.0,6
E_399,Male,White,55+,2,1.0,1.0,6
E_557,Male,White,18-24,2,1.0,1.0,6
E_775,NonMale,White,55+,1,1.0,1.0,6
E_776,NonMale,White,18-24,2,1.0,1.0,6
E_777,Male,NonWhite,35-44,4,1.0,1.0,6
E_778,Male,White,25-34,5,1.0,1.0,6
E_779,NonMale,NonWhite,45-54,1,1.0,1.0,6
E_780,NonMale,White,25-34,2,1.0,1.0,6
E_781,NonMale,NonWhite,18-24,3,1.0,1.0,6
E_782,Male,NonWhite,25-34,1,1.0,1.0,6
E_783,Male,White,35-44,2,1.0,1.0,6
E_784,Male,NonWhite,25-34,0,1.0,1.0,6
E_785,NonMale,NonWhite,18-24,1,1.0,1.0,6
E_788,Male,NonWhite,25-34,1,1.0,1.0,6
E_794,Male,NonWhite,35-44,1,1.0,1.0,6
E_725,Male,White,35-44,0,1.0,1.0,6
E_795,NonMale,White,25-34,3,1.0,1.0,6
E_796,Male,White,25-34,3,1.0,1.0,6
E_797,Male,White,25-34,1,1.0,1.0,6
E_792,Male,NonWhite,55+,0,1.0,1.0,6
E_804,Male,White,18-24,0,1.0,1.0,6
E_799,NonMale,White,45-54,0,1.0,1.0,6
E_800,Male,NonWhite,25-34,1,1.0,1.0,6
E_801,NonMale,White,45-54,2,1.0,1.0,6
