name,gender,race,age,unique,shapley,cq,trial
E_337,Male,NonWhite,25-34,0,1.0,1.0,5
E_338,Male,NonWhite,25-34,0,1.0,1.0,5
E_331,NonMale,White,25-34,2,1.0,1.0,5
A_371,Male,White,25-34,4,4.333333333333336,9.529354994054701,6
A_372,Male,NonWhite,25-34,5,5.333333333333337,7.627236170177952,6
A_373,NonMale,White,35-44,3,3.8333333333333335,7.98182578289731,6
A_374,Male,White,18-24,2,3.8333333333333353,6.503759995658893,6
A_375,Male,NonWhite,25-34,4,4.8333333333333375,6.556004314349883,6
A_376,NonMale,NonWhite,25-34,4,4.8333333333333375,5.903378910846979,6
A_314,NonMale,White,25-34,3,4.333333333333336,5.088049155326116,5
A_315,Male,White,25-34,5,5.333333333333337,10.79685926467624,5
A_316,NonMale,White,35-44,5,5.000000000000002,8.908286935022286,5
A_317,Male,White,25-34,5,5.000000000000002,12.454371434923567,5
A_318,Male,NonWhite,18-24,3,4.333333333333336,5.187987944899415,5
A_319,NonMale,NonWhite,25-34,4,5.0000000000000036,4.7437845127223,5
